Bencana Menurut Wilayah ACEH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Bencana Menurut Wilayah Nusa Tenggara Barat,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
3,2018,0,9,1,2.584,135,5,27,151,308,,,3,2018,0,187,2,2.393,39,0,24,336,4
4,2019,1,21,0,788,8,1,6,32,160,,,4,2019,15,164,1,126.618,369.226,10,99,2,107.932
5,2020,1,64,4,34.669,3.942,48,29,490,10.176,,,5,2020,2,163,2,165.242,653,0,12,27,28.42
JUMLAH,,2,115,5,1272.2530000000002,169.942,83,100,768,538.176,,,JUMLAH,,23,641,49,416.674,1098.949,114,315,884,533.675
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah DKI Jakarta,,,,,,,,,,,,,Bencana Menurut Wilayah Sulawesi Tenggara,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,7,43,8,178.687,3.591,23,27,203,10.687,,,1,2016,0,13,0,0,1.361,65,49,8,362
2,2017,1,15,3,894.716,37,86,7,153,136,,,2,2017,0,28,4,0,0,3,0,0,0
3,2018,0,33,0,62.798,5,7,3,44,295,,,3,2018,1,25,5,0,0,0,0,0,0
4,2019,2,7,13,8.684,206,27,42,107,1.277,,,4,2019,4,20,2,6.757,205,9,8,35,2.015
5,2020,43,23,31,3.809,1.02,66,28,49,952,,,5,2020,0,16,1,1.191,0,0,0,66,14
JUMLAH,,53,121,55,1148.694,252.61100000000002,209,107,556,1394.964,,,JUMLAH,,5,102,12,7.9479999999999995,206.361,77,57,109,378.015
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Jawa Barat,,,,,,,,,,,,,Bencana Menurut Wilayah Gorontalo,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,78,306,86,149.103,87.152,2.158,3.034,4.429,37.726,,,1,2016,5,11,0,670.16,2.547,3,3,0,1.312
2,2017,0,318,0,42,0,0,0,30,1.532,,,2,2017,0,29,0,250.42,0,0,0,0,105
3,2018,0,355,1,24.946,1.035,4,0,53,8.271,,,3,2018,2,17,6,20,0,3,0,4,0
4,2019,0,692,0,42.897,0,6,25,93,15.333,,,4,2019,2,6,0,1.665,0,4,9,64,537
5,2020,2,942,0,217.721,24.852,27,4,2,61.734,,,5,2020,0,25,13,734,0,2,5,55,324
JUMLAH,,80,2613,87,476.66700000000003,113.039,39.158,32.034,182.429,124.596,,,JUMLAH,,9,88,19,1676.245,2.547,12,17,123,967.312
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Jawa Tengah,,,,,,,,,,,,,Bencana Menurut Wilayah Sulawesi Barat,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,126,600,99,109.319,12.738,473,732,5.442,33.766,,,1,2016,0,9,1,312,622,27,53,33,478
2,2017,0,1070,0,0,14,1,0,0,1.611,,,2,2017,0,12,0,30.143,0,7,12,24,7
3,2018,0,584,0,16,0,0,0,0,523,,,3,2018,0,12,5,25.066,5,11,15,52,15
4,2019,0,942,3,8.597,1.221,6,83,74,17.001,,,4,2019,0,11,2,80,20,17,9,20,0
5,2020,4,1020,5,100.184,3.304,4,6,15,40.916,,,5,2020,0,11,1,159,13,7,12,22,0
JUMLAH,,130,4216,107,234.1,31.262999999999998,484,821,94.44200000000001,616.2939999999999,,,JUMLAH,,0,55,9,606.2090000000001,660,69,101,151,500
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Daerah Istimewa Yogyakarta,,,,,,,,,,,,,Bencana Menurut Wilayah Maluku,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,4,38,5,2.373,113,7,24,92,86,,,1,2016,1,5,14,15,2.68,176,188,339,247
2,2017,0,24,0,0,1.4,1,0,0,1.611,,,2,2017,1,21,0,710,0,91,508,351,0
3,2018,0,122,0,1.6,0,0,0,0,523,,,3,2018,0,9,0,0,0,0,0,0,0
4,2019,0,28,3,8.597,1.221,6,83,74,17.001,,,4,2019,0,37,3,83,3,6,5,53,0
5,2020,4,0,5,100.184,3.304,4,6,15,40.916,,,5,2020,0,27,0,39,0,3,2,4,5
JUMLAH,,8,212,13,112.75399999999999,118.92500000000001,18,113,181,668.528,,,JUMLAH,,2,99,17,847,5.68,276,703,747,252
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Jawa Timur,,,,,,,,,,,,,Bencana Menurut Wilayah Maluku Utara,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,20,407,48,327.704,20.321,332,567,3.524,35.62,,,1,2016,0,7,4,14.034,331,14,117,38,1.447
2,2017,4,434,5,22.64,5,4,0,0,0,,,2,2017,4,32,5,22.64,5,4,0,0,0
3,2018,0,456,0,75,20,11,0,33,0,,,3,2018,0,20,0,75.01,20,11,0,33,0
4,2019,1,623,3,288,0,8,5,37,123,,,4,2019,1,19,3,288,0,8,5,37,123
5,2020,1,37,8,359,395,89,16,64,150,,,5,2020,1,18,8,359,395,89,16,64,150
JUMLAH,,26,1957,64,1072.344,440.321,444,588,137.524,308.62,,,JUMLAH,,6,96,20,758.684,751,126,138,172,274.447
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Banten,,,,,,,,,,,,,Bencana Menurut Wilayah Papua,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,6,31,4,30.964,6.579,280,145,206,8.26,,,1,2016,0,4,0,0,0,0,0,0,0
2,2017,4,39,5,22.64,5,4,0,0,0,,,2,2017,4,7,5,22.64,5,4,0,0,0
